BikeId;Rental Start Date;Rental End Date;Duration;Fare (in Cents);Starting Location;Ending Location;Rough Distance (KM)
1296;26.11.2021 13:06;26.11.2021 13:35;00:29:33;200;38.0225592,32.5125071;37.97908020019531,32.517120361328125;4.851513183
1236;26.11.2021 13:01;26.11.2021 13:05;00:03:17;50;38.022506,32.5125608;38.02262878417969,32.51253890991211;0.01378697
1206;26.11.2021 07:16;26.11.2021 07:30;00:13:29;200;37.8656087,32.4894647;37.86600875854492,32.488929748535156;0.064684402
1101;26.11.2021 00:09;26.11.2021 00:16;00:07:14;50;37.8632619,32.4703256;37.87324142456055,32.481868743896484;1.502685175
1227;25.11.2021 23:59;26.11.2021 00:27;00:27:41;200;37.8750362,32.4850612;37.85274887084961,32.4883918762207;2.495426143
1043;25.11.2021 21:09;25.11.2021 21:15;00:06:09;50;37.8536823,32.4234066;37.85367965698242,32.42341995239258;0.001208582
1111;25.11.2021 20:01;25.11.2021 20:01;00:00:32;0;37.873169157077484,32.48164573226592;37.87316131591797,32.481719970703125;0.006574287
1111;25.11.2021 19:46;25.11.2021 19:50;00:04:03;50;37.87765311686617,32.48305162077302;37.87321853637695,32.4817008972168;0.507154507
1315;25.11.2021 18:26;25.11.2021 18:34;00:08:24;50;37.8733846,32.4817001;37.86310958862305,32.47018051147461;1.525738084
1131;25.11.2021 17:22;25.11.2021 17:45;00:22:28;200;37.9396929,32.5112146;37.94977951049805,32.51333999633789;1.136959348
1241;25.11.2021 17:10;25.11.2021 17:20;00:10:14;50;37.8740317,32.4896033;37.873939514160156,32.48952865600586;0.012165526
1080;25.11.2021 15:15;25.11.2021 15:52;00:36:14;200;38.0095566,32.5225692;37.94601058959961,32.50157928466797;7.301572274
1291;25.11.2021 15:15;25.11.2021 15:33;00:18:07;200;37.9473724,32.5220628;37.94742965698242,32.522071838378906;0.006415824
1069;25.11.2021 14:39;25.11.2021 14:54;00:15:27;200;38.0094515,32.5225153;37.97895812988281,32.5172004699707;3.422544684
1105;25.11.2021 14:06;25.11.2021 14:16;00:09:31;50;38.0225934,32.5124673;38.00914001464844,32.527549743652344;1.995906219
1296;25.11.2021 13:22;25.11.2021 13:26;00:03:43;50;38.0197512,32.5153527;38.02265930175781,32.51234817504883;0.416934033
1127;25.11.2021 13:16;25.11.2021 13:30;00:13:26;200;38.0225722,32.5124726;38.009681701660156,32.52259063720703;1.685282508
1106;25.11.2021 13:15;25.11.2021 13:21;00:06:33;50;38.0091113,32.5275336;38.013919830322266,32.521209716796875;0.769958215
1206;25.11.2021 07:09;25.11.2021 07:23;00:13:58;200;37.8658574,32.4889227;37.86579895019531,32.488861083984375;0.008455568
1277;25.11.2021 01:19;25.11.2021 01:25;00:06:35;50;37.87755015826021,32.48286854361543;37.86711883544922,32.48426818847656;1.166398181
1288;24.11.2021 21:38;24.11.2021 21:52;00:13:16;200;37.8527606,32.4884356;37.86906814575195,32.48667907714844;1.819861185
1314;24.11.2021 18:16;24.11.2021 20:26;02:09:59;350;37.8704111,32.4861292;37.86927032470703,32.486568450927734;0.132578787
1150;24.11.2021 17:10;24.11.2021 17:54;00:44:27;200;37.9497731,32.5133267;999,999;14571.21933
1213;24.11.2021 16:38;24.11.2021 17:32;00:54:01;200;38.0094902,32.5226214;37.94977951049805,32.51327896118164;6.689827904
1258;24.11.2021 15:26;24.11.2021 16:32;01:06:07;200;37.9042935,32.4954501;37.90441131591797,32.495479583740234;0.013353485
1201;24.11.2021 15:14;24.11.2021 16:15;01:00:52;200;37.946057,32.5016083;37.94599151611328,32.501609802246094;0.007282667
1128;24.11.2021 15:14;24.11.2021 16:15;01:00:57;200;37.9460641,32.5015849;37.94593048095703,32.50154113769531;0.015345313
1154;24.11.2021 15:00;24.11.2021 15:12;00:11:56;200;37.9289647,32.5095889;37.94961166381836,32.51314163208008;2.316881247
1199;24.11.2021 14:58;24.11.2021 15:17;00:18:40;200;37.888527181966126,32.49366695995675;37.870811462402344,32.48360061645508;2.158945825
1230;24.11.2021 14:57;24.11.2021 14:58;00:00:42;0;37.88857894021821,32.49368330466793;37.88835906982422,32.493568420410156;0.026445603
1139;24.11.2021 14:54;24.11.2021 14:56;00:02:00;50;37.8884301195274,32.49369780536042;37.888450622558594,32.49357986450195;0.010598129
1223;24.11.2021 14:01;24.11.2021 14:27;00:25:12;200;38.0225486,32.5124913;37.97909927368164,32.51716995239258;4.848706196
1274;24.11.2021 14:00;24.11.2021 14:01;00:00:42;0;38.0226649,32.5124882;38.022621154785156,32.5124397277832;0.006456707
1150;24.11.2021 12:30;24.11.2021 12:54;00:24:13;200;38.0091554,32.5277956;37.94990158081055,32.51335144042969;6.709248656
1171;24.11.2021 10:19;24.11.2021 10:30;00:11:07;200;37.89221120835107,32.476062612439186;37.89973831176758,32.49011993408203;1.490643686
1142;24.11.2021 09:53;24.11.2021 10:13;00:20:01;200;37.8740439,32.4896046;37.89548110961914,32.506141662597656;2.790758568
1244;24.11.2021 08:51;24.11.2021 08:55;00:04:43;50;37.8774743,32.5126637;37.87071990966797,32.514991760253906;0.778355452
1206;24.11.2021 07:14;24.11.2021 07:27;00:12:08;200;37.865786,32.4889932;37.86581039428711,32.488929748535156;0.006195333
1244;24.11.2021 00:48;24.11.2021 00:52;00:04:00;50;37.8705905,32.5149393;37.877418518066406,32.512550354003906;0.787664115
1219;23.11.2021 21:14;23.11.2021 21:40;00:25:47;200;37.97913171438829,32.517175913005346;37.94977951049805,32.51322937011719;3.282102128
1295;23.11.2021 21:12;23.11.2021 21:40;00:27:48;200;37.9790684,32.5171745;37.949710845947266,32.51335906982422;3.281502266
1172;23.11.2021 18:15;23.11.2021 18:42;00:27:18;200;37.8664627,32.4245803;37.865989685058594,32.48868942260742;5.627898014
1175;23.11.2021 17:49;23.11.2021 18:31;00:41:44;200;37.9498344,32.5133236;37.94987106323242,32.51348876953125;0.015045366
1315;23.11.2021 17:20;23.11.2021 18:12;00:52:12;200;37.87321843748165,32.48156645659795;37.8731803894043,32.4818115234375;0.021922629
1152;23.11.2021 16:54;23.11.2021 17:17;00:23:05;200;37.94696128668592,32.484372221521014;37.946998596191406,32.48429870605469;0.007665879
1196;23.11.2021 16:53;23.11.2021 17:17;00:24:47;200;37.9469659,32.4843553;37.94694900512695,32.48434829711914;0.001976434
1172;23.11.2021 16:21;23.11.2021 17:21;01:00:10;200;37.8649051,32.4538725;37.86676025390625,32.42457962036133;2.579673828
1031;23.11.2021 15:52;23.11.2021 16:39;00:47:26;200;38.0197728,32.5153193;38.02251052856445,32.512508392333984;0.391536685
1116;23.11.2021 15:32;23.11.2021 15:58;00:26:08;200;37.84868992402949,32.49901578764664;37.84878158569336,32.49905014038086;0.01062926
1175;23.11.2021 15:25;23.11.2021 15:57;00:32:09;200;37.9289714,32.5095789;37.94997024536133,32.51314163208008;2.355775223
1100;23.11.2021 13:13;23.11.2021 13:22;00:08:43;50;38.022500239175656,32.51253962234714;38.01369094848633,32.52109146118164;1.233183892
1318;23.11.2021 13:13;23.11.2021 13:14;00:00:44;0;38.0225626,32.5124239;38.02267837524414,32.5124397277832;0.012948062
1206;23.11.2021 12:44;23.11.2021 14:17;01:32:10;350;37.8657493,32.4889568;37.86582946777344,32.488929748535156;0.00922512
1210;23.11.2021 12:39;23.11.2021 19:08;06:29:50;1100;37.94978282650242,32.51326154694089;37.9497184753418,32.51332092285156;0.008849096
1172;23.11.2021 12:30;23.11.2021 13:17;00:46:26;200;37.8644287,32.4535209;37.864471435546875,32.453468322753906;0.006624486
1296;23.11.2021 12:19;23.11.2021 12:30;00:10:15;50;38.01386454962605,32.52127042175079;38.01982879638672,32.51533889770508;0.842513152
1285;23.11.2021 12:18;23.11.2021 12:36;00:17:45;200;37.9497669,32.5133263;37.947349548339844,32.522300720214844;0.831557167
1233;23.11.2021 12:11;23.11.2021 12:19;00:07:30;50;38.0092639,32.5273141;38.01383972167969,32.5212287902832;0.736960688
1039;23.11.2021 12:11;23.11.2021 12:19;00:08:12;50;38.00900056709021,32.52749392646498;38.01377868652344,32.52111053466797;0.771385823
1277;23.11.2021 09:18;23.11.2021 09:25;00:07:13;50;37.86711121286398,32.484200798916476;37.87754821777344,32.48326110839844;1.163469343
1264;23.11.2021 01:58;23.11.2021 02:18;00:20:21;200;38.0096317,32.5224682;37.979061126708984,32.517250061035156;3.429909642
1144;23.11.2021 01:08;23.11.2021 01:32;00:24:12;200;37.8654885,32.5360568;37.87068176269531,32.51511001586914;1.92725941
1144;23.11.2021 01:02;23.11.2021 01:05;00:03:51;50;37.8654641,32.5361444;37.8654995,32.5360633;0.008134975
1161;22.11.2021 23:57;23.11.2021 00:12;00:14:25;200;37.87771121837568,32.48311473620096;37.85615921020508,32.47063064575195;2.635151735
1114;22.11.2021 22:47;22.11.2021 23:00;00:12:47;200;38.009498366543774,32.522584776841796;37.979129791259766,32.517120361328125;3.410613291
1213;22.11.2021 22:45;22.11.2021 22:46;00:01:55;50;38.00955966088606,32.522583236575116;38.009490966796875,32.52265167236328;0.009710549
1273;22.11.2021 22:38;22.11.2021 22:51;00:13:23;200;37.8750305,32.4851205;37.86286163330078,32.48064041137695;1.409104582
1247;22.11.2021 22:36;22.11.2021 23:09;00:32:48;200;37.8752018,32.4850137;37.867210388183594,32.4840087890625;0.892971689
